騎手,場所,芝・ダ,距離,ペース型,騎乗数,勝利数,複勝数,平均着順,平均4角率,勝率,複勝率
坂井瑠星,中京,ダ,1200,ハイ/持続,24,3,10,7.333333333333333,0.5609699328449328,12.5,41.66666666666667
斎藤新,中京,ダ,1200,ハイ/持続,23,2,9,6.565217391304348,0.5266291679335158,8.695652173913043,39.130434782608695
藤岡康太,中京,ダ,1200,ハイ/持続,29,6,11,6.068965517241379,0.3590075154730327,20.689655172413794,37.93103448275862
松山弘平,中京,ダ,1200,ハイ/持続,55,10,20,5.636363636363637,0.367206202888021,18.181818181818183,36.36363636363637
西村淳也,中京,ダ,1200,ハイ/持続,28,2,10,6.928571428571429,0.37639652014652014,7.142857142857142,35.714285714285715
岩田望来,中京,ダ,1200,ハイ/持続,39,3,13,6.589743589743589,0.4577430048583895,7.6923076923076925,33.33333333333333
福永祐一,中京,ダ,1200,ハイ/持続,25,3,8,7.8,0.40209523809523806,12.0,32.0
国分恭介,中京,ダ,1200,ハイ/持続,28,0,8,7.428571428571429,0.7148809523809524,0.0,28.57142857142857
岩田康誠,中京,ダ,1200,ハイ/持続,21,0,6,7.333333333333333,0.6262291280148423,0.0,28.57142857142857
和田竜二,中京,ダ,1200,ハイ/持続,47,4,13,7.0638297872340425,0.3737715298885512,8.51063829787234,27.659574468085108
秋山真一,中京,ダ,1200,ハイ/持続,24,2,6,6.916666666666667,0.53963310994561,8.333333333333332,25.0
小沢大仁,中京,ダ,1200,ハイ/持続,29,5,7,8.689655172413794,0.48826417835038527,17.24137931034483,24.137931034482758
幸英明,中京,ダ,1200,ハイ/持続,59,4,14,7.677966101694915,0.44593266902588935,6.779661016949152,23.728813559322035
松若風馬,中京,ダ,1200,ハイ/持続,47,3,10,7.48936170212766,0.4251120333567142,6.382978723404255,21.27659574468085
鮫島克駿,中京,ダ,1200,ハイ/持続,43,3,9,8.511627906976743,0.46462975009486635,6.976744186046512,20.930232558139537
富田暁,中京,ダ,1200,ハイ/持続,33,0,6,8.363636363636363,0.38474442224442224,0.0,18.181818181818183
団野大成,中京,ダ,1200,ハイ/持続,32,1,5,9.125,0.5025025755494505,3.125,15.625
菱田裕二,中京,ダ,1200,ハイ/持続,33,3,5,8.636363636363637,0.598989898989899,9.090909090909092,15.151515151515152
森裕太朗,中京,ダ,1200,ハイ/持続,20,3,3,7.35,0.5452289377289377,15.0,15.0
川須栄彦,中京,ダ,1200,ハイ/持続,34,3,5,8.264705882352942,0.5167430608607079,8.823529411764707,14.705882352941178
亀田温心,中京,ダ,1200,ハイ/持続,23,1,3,9.391304347826088,0.47693701226309926,4.3478260869565215,13.043478260869565
太宰啓介,中京,ダ,1200,ハイ/持続,23,2,3,8.521739130434783,0.7358436853002069,8.695652173913043,13.043478260869565
永島まな,中京,ダ,1200,ハイ/持続,31,0,4,9.580645161290322,0.516521784666946,0.0,12.903225806451612
中井裕二,中京,ダ,1200,ハイ/持続,24,2,3,7.666666666666667,0.4915610431235431,8.333333333333332,12.5
吉田隼人,中京,ダ,1200,ハイ/持続,32,2,4,9.1875,0.45214798222610725,6.25,12.5
国分優作,中京,ダ,1200,ハイ/持続,24,2,3,9.208333333333334,0.48047161172161174,8.333333333333332,12.5
荻野極,中京,ダ,1200,ハイ/持続,24,1,3,9.333333333333334,0.5374684343434343,4.166666666666666,12.5
角田大和,中京,ダ,1200,ハイ/持続,26,1,3,9.692307692307692,0.4749753451676529,3.8461538461538463,11.538461538461538
酒井学,中京,ダ,1200,ハイ/持続,37,1,1,9.324324324324325,0.531093906093906,2.7027027027027026,2.7027027027027026
泉谷楓真,中京,ダ,1200,ハイ/持続,21,0,0,9.19047619047619,0.5319083694083694,0.0,0.0
