調教師,race_pace,件数,勝率,複勝率
和田正一,nan,31,0.45161290322580644,0.5483870967741935
南井克巳,nan,30,0.15625,0.4375
清水久詞,nan,30,0.14285714285714285,0.42857142857142855
浅見秀一,nan,40,0.09523809523809523,0.3333333333333333
五十嵐忠,nan,38,0.15384615384615385,0.3333333333333333
武市康男,nan,38,0.07692307692307693,0.3333333333333333
木村哲也,やや速い,257,0.12075471698113208,0.35094339622641507
堀宣行,やや速い,329,0.14782608695652175,0.34492753623188405
藤沢和雄,やや速い,292,0.12852664576802508,0.3385579937304075
池江泰寿,やや速い,373,0.13283208020050125,0.3383458646616541
四位洋文,やや速い,76,0.09090909090909091,0.33766233766233766
中内田充,やや速い,323,0.13253012048192772,0.3313253012048193
松田国英,やや速い,185,0.11290322580645161,0.3225806451612903
安田翔伍,やや速い,180,0.14207650273224043,0.3224043715846995
藤原英昭,やや速い,407,0.14150943396226415,0.32075471698113206
松永幹夫,やや速い,376,0.10236220472440945,0.31496062992125984
嘉藤貴行,やや速い,63,0.11940298507462686,0.31343283582089554
野中賢二,やや速い,322,0.11746987951807229,0.3132530120481928
田中克典,やや速い,135,0.11594202898550725,0.3115942028985507
安田隆行,やや速い,571,0.10508474576271186,0.3016949152542373
大久保龍,やや速い,371,0.10539845758354756,0.30077120822622105
吉村圭司,やや速い,278,0.13214285714285715,0.3
長谷川浩,やや速い,184,0.0855614973262032,0.2994652406417112
加藤征弘,やや速い,418,0.10574712643678161,0.2988505747126437
吉岡辰弥,やや速い,138,0.09929078014184398,0.2978723404255319
角居勝彦,やや速い,183,0.11458333333333333,0.296875
国枝栄,やや速い,310,0.1355421686746988,0.29518072289156627
須貝尚介,やや速い,456,0.10408163265306122,0.2938775510204082
音無秀孝,やや速い,468,0.10821643286573146,0.2925851703406814
高柳大輔,やや速い,220,0.10267857142857142,0.29017857142857145
友道康夫,やや速い,273,0.14093959731543623,0.28523489932885904
斉藤崇史,やや速い,288,0.10702341137123746,0.2809364548494983
岡田稲男,やや速い,326,0.08259587020648967,0.28023598820059
杉山晴紀,やや速い,371,0.09768637532133675,0.2776349614395887
高野友和,やや速い,359,0.08695652173913043,0.27445652173913043
武幸四郎,やや速い,240,0.12301587301587301,0.27380952380952384
池添学,やや速い,336,0.10541310541310542,0.2706552706552707
五十嵐忠,やや速い,227,0.06779661016949153,0.2669491525423729
鈴木孝志,やや速い,302,0.0641025641025641,0.266025641025641
田中博康,やや速い,196,0.13,0.265
斎藤誠,やや速い,467,0.09690721649484536,0.2639175257731959
佐藤正雄,やや速い,60,0.06557377049180328,0.26229508196721313
