重賞名,表示順,条件ランク,条件名,条件タイプ,根拠,年カバー数,馬券内該当数,全出走該当率,リフト
CBC賞H,1,S,前3角=前半位置(相対50%以内),強選別条件,9年中9年カバー / 馬券内21頭 / リフト1.342,9,21,0.58,1.342
CBC賞H,2,S,前4角=前半位置(相対50%以内),強選別条件,9年中9年カバー / 馬券内22頭 / リフト1.339,9,22,0.609,1.339
CBC賞H,3,S,性別=牡,選別条件,9年中9年カバー / 馬券内18頭 / リフト1.122,9,18,0.594,1.122
CBC賞H,4,S,距離ローテ=同距離または延長,選別条件,9年中9年カバー / 馬券内18頭 / リフト1.108,9,18,0.601,1.108
CBC賞H,5,S,前走着順=一桁着順,選別条件,9年中9年カバー / 馬券内19頭 / リフト1.091,9,19,0.645,1.091
CBC賞H,6,S,前走Ｒ=11,選別条件,9年中9年カバー / 馬券内19頭 / リフト1.022,9,19,0.688,1.022
JC,1,B,前走着順=1着,強選別条件,10年中9年カバー / 馬券内14頭 / リフト2.178,9,14,0.214,2.178
JC,2,B,前走着差=勝ち/同タイム,強選別条件,10年中9年カバー / 馬券内14頭 / リフト2.119,9,14,0.22,2.119
JC,3,B,前走レース名=天皇賞秋G1,強選別条件,10年中9年カバー / 馬券内14頭 / リフト1.633,9,14,0.286,1.633
JC,4,B,前距離=2000,強選別条件,10年中9年カバー / 馬券内18頭 / リフト1.4,9,18,0.429,1.4
JC,5,B,前走斤量=58,強選別条件,10年中9年カバー / 馬券内14頭 / リフト1.375,9,14,0.339,1.375
JC,6,B,前3角=前半位置(相対50%以内),強選別条件,10年中9年カバー / 馬券内16頭 / リフト1.358,9,16,0.393,1.358
JC,7,B,前クラス名=G1,選別条件,10年中9年カバー / 馬券内21頭 / リフト1.278,9,21,0.548,1.278
JC,8,B,距離ローテ=距離延長,選別条件,10年中9年カバー / 馬券内21頭 / リフト1.212,9,21,0.577,1.212
JC,9,B,毛色=鹿毛,選別条件,10年中9年カバー / 馬券内13頭 / リフト0.922,9,13,0.47,0.922
JC,10,S,枠位置=内25%,強選別条件,10年中10年カバー / 馬券内16頭 / リフト2.422,10,16,0.22,2.422
JC,11,S,馬番=1〜4番,強選別条件,10年中10年カバー / 馬券内16頭 / リフト2.24,10,16,0.238,2.24
JC,12,S,馬番=1〜6番,強選別条件,10年中10年カバー / 馬券内21頭 / リフト1.96,10,21,0.357,1.96
NHKマ,1,B,前走着順=1〜3着,選別条件,10年中9年カバー / 馬券内18頭 / リフト1.149,9,18,0.522,1.149
NHKマ,2,B,距離ローテ=同距離,選別条件,10年中9年カバー / 馬券内18頭 / リフト1.029,9,18,0.583,1.029
NHKマ,3,B,前距離=1600,選別条件,10年中9年カバー / 馬券内18頭 / リフト1.029,9,18,0.583,1.029
NHKマ,4,B,前3角=後半位置(相対50%超),選別条件,10年中9年カバー / 馬券内12頭 / リフト0.973,9,12,0.411,0.973
NHKマ,5,S,前走着差=0.3秒以内,強選別条件,10年中10年カバー / 馬券内22頭 / リフト1.361,10,22,0.539,1.361
NHKマ,6,S,前走着順=1〜5着,強選別条件,10年中10年カバー / 馬券内26頭 / リフト1.333,10,26,0.65,1.333
NHKマ,7,S,前走着差=0.5秒以内,選別条件,10年中10年カバー / 馬券内25頭 / リフト1.271,10,25,0.656,1.271
NHKマ,8,S,馬番=9番外,選別条件,10年中10年カバー / 馬券内20頭 / リフト1.2,10,20,0.556,1.2
NHKマ,9,S,キャリア=5戦以内,選別条件,10年中10年カバー / 馬券内19頭 / リフト1.175,10,19,0.539,1.175
NHKマ,10,S,間隔=中4週以内,選別条件,10年中10年カバー / 馬券内21頭 / リフト1.135,10,21,0.617,1.135
NHKマ,11,S,前4角=前半位置(相対50%以内),選別条件,10年中10年カバー / 馬券内21頭 / リフト1.115,10,21,0.628,1.115
NHKマ,12,S,枠位置=中50%,選別条件,10年中10年カバー / 馬券内16頭 / リフト1.067,10,16,0.5,1.067
きさらぎ,1,B,前走上り3F=33秒台以下,強選別条件,10年中9年カバー / 馬券内13頭 / リフト2.015,9,13,0.215,2.015
きさらぎ,2,B,産地=安平町,強選別条件,10年中9年カバー / 馬券内18頭 / リフト1.468,9,18,0.409,1.468
きさらぎ,3,B,前4角=4〜6番手,強選別条件,10年中9年カバー / 馬券内14頭 / リフト1.447,9,14,0.323,1.447
きさらぎ,4,B,前走斤量=55,選別条件,10年中9年カバー / 馬券内19頭 / リフト1.227,9,19,0.516,1.227
きさらぎ,5,B,前走頭数=10頭以下,選別条件,10年中9年カバー / 馬券内14頭 / リフト1.173,9,14,0.398,1.173
きさらぎ,6,B,前4角=後半位置(相対50%超),選別条件,10年中9年カバー / 馬券内13頭 / リフト1.033,9,13,0.419,1.033
きさらぎ,7,B,前4角=前半位置(相対50%以内),選別条件,10年中9年カバー / 馬券内17頭 / リフト0.976,9,17,0.581,0.976
きさらぎ,8,B,枠位置=中50%,選別条件,10年中9年カバー / 馬券内13頭 / リフト0.857,9,13,0.505,0.857
きさらぎ,9,S,馬番=1〜4番,強選別条件,10年中10年カバー / 馬券内18頭 / リフト1.395,10,18,0.43,1.395
きさらぎ,10,S,前走着差=0.5秒以内,選別条件,10年中10年カバー / 馬券内23頭 / リフト1.251,10,23,0.613,1.251
きさらぎ,11,S,前3角=後半位置(相対50%超),選別条件,10年中10年カバー / 馬券内18頭 / リフト1.213,10,18,0.495,1.213
きさらぎ,12,S,前走着差=0.3秒以内,選別条件,10年中10年カバー / 馬券内21頭 / リフト1.206,10,21,0.581,1.206
みやこS,1,A,間隔=中4週以内,選別条件,9年中9年カバー / 馬券内10頭 / リフト1.201,9,10,0.308,1.201
みやこS,2,S,前走着差=0.3秒以内,強選別条件,9年中9年カバー / 馬券内16頭 / リフト1.576,9,16,0.376,1.576
みやこS,3,S,前走着順=1〜3着,強選別条件,9年中9年カバー / 馬券内17頭 / リフト1.495,9,17,0.421,1.495
みやこS,4,S,前走着差=0.5秒以内,強選別条件,9年中9年カバー / 馬券内19頭 / リフト1.486,9,19,0.474,1.486
みやこS,5,S,前走着差=0.9秒以内,強選別条件,9年中9年カバー / 馬券内23頭 / リフト1.382,9,23,0.617,1.382
みやこS,6,S,前走着順=1〜5着,強選別条件,9年中9年カバー / 馬券内23頭 / リフト1.349,9,23,0.632,1.349
みやこS,7,S,前走頭数=14〜16頭,選別条件,9年中9年カバー / 馬券内19頭 / リフト1.185,9,19,0.594,1.185
みやこS,8,S,間隔=中8週以内,選別条件,9年中9年カバー / 馬券内20頭 / リフト1.107,9,20,0.669,1.107
みやこS,9,S,前走馬場状態=良,選別条件,9年中9年カバー / 馬券内20頭 / リフト1.059,9,20,0.699,1.059
みやこS,10,S,替=*,選別条件,9年中9年カバー / 馬券内16頭 / リフト0.985,9,16,0.602,0.985
みやこS,11,S,斤量=56kg以下,選別条件,9年中9年カバー / 馬券内16頭 / リフト0.95,9,16,0.624,0.95
アイビス,1,A,年齢=5歳,強選別条件,10年中10年カバー / 馬券内14頭 / リフト1.624,10,14,0.287,1.624
アイビス,2,A,間隔=中4週以内,選別条件,10年中10年カバー / 馬券内12頭 / リフト1.044,10,12,0.383,1.044
アイビス,3,A,枠位置=中50%,選別条件,10年中10年カバー / 馬券内14頭 / リフト0.95,10,14,0.491,0.95
アイビス,4,A,性別=牡,選別条件,10年中10年カバー / 馬券内11頭 / リフト0.827,10,11,0.443,0.827
アイビス,5,B,キャリア=11〜20戦,強選別条件,10年中9年カバー / 馬券内14頭 / リフト1.443,9,14,0.323,1.443
アイビス,6,B,所属=(栗),選別条件,10年中9年カバー / 馬券内16頭 / リフト1.024,9,16,0.521,1.024
