重賞名,条件ランク,条件タイプ,条件名,項目,種別,対象年数,年カバー数,年カバー率,馬券内該当数,馬券内総数,馬券内該当率,全出走該当数,全出走総数,全出走該当率,条件内馬券内率,リフト
CBC賞H,S,強選別条件,前4角=前半位置(相対50%以内),前4角,derived,9,9,1.0,22,27,0.815,84,138,0.609,0.262,1.339
CBC賞H,S,強選別条件,前3角=前半位置(相対50%以内),前3角,derived,9,9,1.0,21,27,0.778,80,138,0.58,0.263,1.342
CBC賞H,S,強選別条件,前走人気=1〜5人気,前走人気,range,9,9,1.0,15,27,0.556,56,138,0.406,0.268,1.369
CBC賞H,S,選別条件,前走馬場状態=良,前走馬場状態,exact,9,9,1.0,22,27,0.815,99,138,0.717,0.222,1.136
CBC賞H,S,選別条件,年齢=4〜6歳,年齢,range,9,9,1.0,22,27,0.815,103,138,0.746,0.214,1.092
CBC賞H,S,選別条件,前走着順=一桁着順,前走着順,range,9,9,1.0,19,27,0.704,89,138,0.645,0.213,1.091
CBC賞H,S,選別条件,前走Ｒ=11,前走Ｒ,exact,9,9,1.0,19,27,0.704,95,138,0.688,0.2,1.022
CBC賞H,S,選別条件,性別=牡,性別,exact,9,9,1.0,18,27,0.667,82,138,0.594,0.22,1.122
CBC賞H,S,選別条件,距離ローテ=同距離または延長,距離ローテ,derived,9,9,1.0,18,27,0.667,83,138,0.601,0.217,1.108
CBC賞H,S,基礎条件,距離差=±400m以内,距離ローテ,derived,9,9,1.0,27,27,1.0,135,138,0.978,0.2,1.022
CBC賞H,S,基礎条件,距離差=±200m以内,距離ローテ,derived,9,9,1.0,26,27,0.963,126,138,0.913,0.206,1.055
CBC賞H,S,基礎条件,前走と同じ芝ダ,芝ダローテ,derived,9,9,1.0,26,27,0.963,126,138,0.913,0.206,1.055
CBC賞H,S,基礎条件,前芝・ダ=芝,前芝・ダ,exact,9,9,1.0,26,27,0.963,126,138,0.913,0.206,1.055
CBC賞H,S,基礎条件,年齢=6歳以下,年齢,range,9,9,1.0,25,27,0.926,115,138,0.833,0.217,1.111
