重賞名,対象年数,抽出条件数_全,S条件数,A条件数,B条件数,補助条件数,消し候補数
CBC賞H,9,27,17,0,0,10,14
JC,10,45,26,0,10,9,20
NHKマ,10,42,26,0,6,10,14
きさらぎ,10,50,26,0,10,14,9
みやこS,9,38,21,1,0,16,16
アイビス,10,45,26,4,3,12,16
アメリカ,10,45,18,0,16,11,18
アルゼンH,10,44,23,0,9,12,29
アルテミ,10,49,30,1,7,11,12
アンタレ,10,50,29,0,8,13,14
アーリン,10,43,27,2,6,8,15
エプソム,10,48,24,1,10,13,14
エリザベ,10,49,28,1,8,12,26
エルムS,10,49,29,2,5,13,14
オーシャ,10,40,23,2,10,5,17
オータムH,10,48,23,1,10,14,10
オールカ,10,44,21,1,8,14,16
カペラS,10,42,22,1,9,10,18
キーンラ,10,42,25,0,8,9,11
クイーン,10,44,15,1,19,9,12
サウジア,8,35,30,5,0,0,10
シリウスH,10,46,25,1,11,9,16
シルクロH,10,41,20,0,11,10,20
シンザン,10,46,24,0,12,10,10
ステイヤ,10,40,14,0,16,10,11
スプリン,10,41,23,0,8,10,18
スワンS,10,37,18,0,11,8,9
セントウ,10,41,19,2,13,7,6
セントラ,10,47,26,0,15,6,15
ダイヤモH,10,40,17,2,12,9,8
ダービーH,10,45,27,0,13,5,18
チャンピ,10,48,26,0,7,15,15
チューリ,10,40,26,0,4,10,21
デイリー,10,43,26,1,9,7,4
ニュージ,10,45,25,1,10,9,8
ファルコ,10,36,18,0,12,6,15
ファンタ,10,44,25,1,8,10,6
フィリー,10,43,23,0,10,10,16
フェアリ,10,44,27,0,9,8,15
フェブラ,10,51,24,0,14,13,25
フューチ,10,49,34,1,5,9,21
フラワー,10,46,24,0,13,9,16
フローラ,10,48,28,0,12,8,15
プロキオ,10,40,20,0,8,12,8
ホープフ,10,50,29,0,14,7,20
マイラー,10,42,26,1,6,9,18
マイルチ,10,49,26,0,11,12,14
マーチSH,10,46,22,1,12,11,14
マーメイH,10,45,23,0,5,17,9
ユニコー,10,42,25,2,8,7,21
ラジオNIH,10,46,24,0,11,11,15
レパード,10,42,21,0,13,8,12
ローズS,10,54,21,1,24,8,11
ヴィクト,10,44,30,1,1,12,15
七夕賞H,10,43,20,0,10,13,18
中京記念H,10,40,21,1,9,9,11
中山グラJ,10,42,27,1,6,8,9
中山大障J,10,43,22,0,14,7,15
中山牝馬H,10,47,22,0,17,8,12
中山記念,10,42,17,3,11,11,15
中山金杯H,10,44,24,0,13,7,15
中日新聞H,9,29,16,0,0,13,8
京成杯,10,43,31,0,7,5,13
京王杯2,10,42,26,0,9,7,8
京王杯ス,10,54,19,1,17,17,10
京都2歳,10,45,29,0,9,7,11
京都ジャJ,10,41,18,3,12,8,5
京都ハイJ,10,37,22,0,11,4,10
京都大賞,10,40,20,0,8,12,8
京都新聞,10,48,21,0,20,7,18
京都牝馬,10,43,21,0,15,7,14
京都記念,10,39,19,0,10,10,7
京都金杯H,10,40,19,0,10,11,12
京阪杯,10,46,23,1,9,13,17
優駿牝馬,10,46,34,1,8,3,16
共同通信,10,44,23,1,13,7,7
函館2歳,10,50,32,0,8,10,10
函館スプ,10,43,15,0,19,9,10
函館記念H,10,42,17,0,15,10,18
北九州記H,10,44,30,0,9,5,11
大阪杯,8,27,23,4,0,0,14
天皇賞春,10,46,25,0,8,13,24
天皇賞秋,10,48,24,3,9,12,25
安田記念,10,44,23,0,12,9,17
宝塚記念,10,44,21,0,13,10,21
富士S,10,48,19,0,13,16,17
小倉2歳,10,43,29,0,7,7,11
小倉サマJ,9,31,17,5,0,9,8
小倉大賞H,10,38,20,0,9,9,12
小倉記念H,10,43,17,0,11,15,7
平安S,10,38,24,0,6,8,21
弥生賞,10,43,24,0,14,5,9
愛知杯H,10,42,15,0,13,14,11
新潟2歳,10,47,31,0,9,7,11
新潟ジャJ,10,41,16,0,13,12,9
新潟大賞H,10,44,21,2,8,13,17
新潟記念H,10,39,19,0,13,7,24
日経新春H,10,44,18,1,15,10,16
日経賞,10,37,18,1,9,9,13
有馬記念,10,38,20,1,12,5,24
札幌2歳,10,43,32,1,7,3,7
札幌記念,10,40,18,2,10,10,12
東京ジャJ,10,40,21,0,11,8,5
東京スポ,10,49,31,1,10,7,6
東京ハイJ,10,45,31,0,6,8,11
東京優駿,10,48,32,0,10,6,22
東京新聞,10,49,19,0,16,14,10
東海S,10,41,18,0,14,9,21
根岸S,10,48,24,0,14,10,22
桜花賞,10,47,28,0,10,9,23
武蔵野S,10,38,27,1,5,5,20
毎日杯,10,50,27,0,15,8,11
毎日王冠,10,48,27,2,4,15,13
皐月賞,10,50,31,1,12,6,23
目黒記念H,10,43,23,0,11,9,14
神戸新聞,10,53,31,0,15,7,12
福島牝馬,10,45,28,1,9,7,9
福島記念H,10,44,18,2,13,11,17
秋華賞,10,47,30,0,6,11,19
紫苑S,8,24,16,8,0,0,17
菊花賞,10,41,24,0,11,6,17
金鯱賞,10,46,19,0,14,13,15
関屋記念,10,48,25,2,10,11,22
阪急杯,10,46,22,1,3,20,14
阪神カッ,10,44,23,1,9,11,15
阪神ジャJ,10,48,21,0,15,12,10
阪神ジュ,10,50,32,0,7,11,17
阪神スプJ,10,47,26,2,13,6,7
阪神大賞,10,39,15,2,13,9,22
阪神牝馬,10,50,21,1,15,13,9
青葉賞,10,51,26,2,14,9,17
高松宮記,10,45,23,1,12,9,12
鳴尾記念,10,42,20,2,7,13,7
