重賞名,消し条件候補,項目,種別,対象年数,年カバー数,馬券内該当数,全出走該当数,全出走該当率,条件内馬券内率,基準馬券内率,リフト
CBC賞H,産地=新冠町,産地,exact,9,0,0,19,0.138,0.0,0.196,0.0
CBC賞H,前走斤量=53,前走斤量,exact,9,0,0,15,0.109,0.0,0.196,0.0
CBC賞H,年齢=4歳,年齢,exact,9,1,1,19,0.138,0.053,0.196,0.269
CBC賞H,前クラス名=OP(L),前クラス名,exact,9,1,1,18,0.13,0.056,0.196,0.284
CBC賞H,前走斤量=54,前走斤量,exact,9,1,1,18,0.13,0.056,0.196,0.284
CBC賞H,前走B=B,前走B,exact,9,1,1,15,0.109,0.067,0.196,0.341
CBC賞H,前走馬番=5,前走馬番,exact,9,1,1,13,0.094,0.077,0.196,0.393
CBC賞H,前走から芝替わり,芝ダローテ,derived,9,1,1,12,0.087,0.083,0.196,0.426
CBC賞H,前芝・ダ=ダ,前芝・ダ,exact,9,1,1,12,0.087,0.083,0.196,0.426
CBC賞H,前走馬番=8,前走馬番,exact,9,1,1,12,0.087,0.083,0.196,0.426
CBC賞H,年齢=7歳以上,年齢,range,9,2,2,23,0.167,0.087,0.196,0.444
CBC賞H,産地=千歳市,産地,exact,9,1,1,11,0.08,0.091,0.196,0.465
CBC賞H,前走頭数=17,前走頭数,exact,9,1,1,11,0.08,0.091,0.196,0.465
CBC賞H,前走馬場状態=重,前走馬場状態,exact,9,1,1,10,0.072,0.1,0.196,0.511
JC,年齢=6歳,年齢,exact,10,0,0,32,0.19,0.0,0.179,0.0
JC,前走人気=10人気以下,前走人気,range,10,0,0,27,0.161,0.0,0.179,0.0
JC,所属=[外],所属,exact,10,0,0,25,0.149,0.0,0.179,0.0
JC,馬記号=[外],馬記号,exact,10,0,0,25,0.149,0.0,0.179,0.0
JC,年齢=7歳以上,年齢,range,10,0,0,20,0.119,0.0,0.179,0.0
JC,前走馬場状態=重,前走馬場状態,exact,10,0,0,17,0.101,0.0,0.179,0.0
JC,産地=愛,産地,exact,10,0,0,12,0.071,0.0,0.179,0.0
JC,年齢=7歳,年齢,exact,10,0,0,11,0.065,0.0,0.179,0.0
JC,種牡馬=ステイゴールド,種牡馬,exact,10,0,0,10,0.06,0.0,0.179,0.0
